order_date,customer_name,product_name,quantity,unit_price,total_amount,region
2024-06-11,Amazon,Data Warehouse,1,4993,4993,Edinburgh
2025-05-18,Microsoft,Analytics Dashboard,1,3604,3604,Leeds
2025-04-14,Google,CRM Software,3,2985,8955,Birmingham
2024-01-27,KPMG,CRM Software,1,1459,1459,London
2025-03-28,TCS,CRM Software,3,3620,10860,London
2024-06-20,TCS,CRM Software,5,3065,15325,Birmingham
2024-02-06,Microsoft,CRM Software,1,801,801,Edinburgh
2025-08-29,PwC,Data Warehouse,1,1639,1639,Edinburgh
2024-06-09,PwC,Cloud Suite,9,1069,9621,Birmingham
2025-11-16,Microsoft,Cloud Suite,6,2186,13116,Manchester
2025-09-30,Infosys,Cloud Suite,2,4557,9114,London
2024-04-13,Deloitte,AI Platform,6,3306,19836,Manchester
2025-02-11,TCS,Cloud Suite,7,4631,32417,Edinburgh
2024-01-20,Deloitte,Data Warehouse,3,1666,4998,Leeds
2024-12-19,KPMG,Analytics Dashboard,9,4269,38421,Edinburgh
2024-05-29,Accenture,Cloud Suite,6,2215,13290,Manchester
2024-02-23,Infosys,Data Warehouse,5,3624,18120,Leeds
2025-09-11,HSBC,Data Warehouse,6,1376,8256,Leeds
2024-12-15,PwC,Data Warehouse,2,1135,2270,Manchester
2025-10-31,PwC,AI Platform,8,1330,10640,Birmingham
2025-08-26,Accenture,Cloud Suite,5,616,3080,London
2025-10-02,Accenture,Cloud Suite,1,3349,3349,London
2025-05-02,HSBC,AI Platform,7,1970,13790,Edinburgh
2024-09-03,PwC,Data Warehouse,3,3244,9732,Edinburgh
2024-08-07,HSBC,AI Platform,4,3459,13836,Manchester
2025-04-18,HSBC,Data Warehouse,1,2257,2257,Edinburgh
2024-01-23,Accenture,Cloud Suite,6,3349,20094,Leeds
2024-08-10,Accenture,Cloud Suite,3,2989,8967,London
2024-11-20,EY,Cloud Suite,1,1395,1395,Birmingham
2025-10-25,TCS,Cloud Suite,3,2927,8781,London
2025-11-21,Infosys,CRM Software,3,4413,13239,Birmingham
2025-07-09,TCS,Cloud Suite,3,1253,3759,Birmingham
2025-12-27,Deloitte,Cloud Suite,8,2125,17000,Manchester
2024-04-24,Amazon,Data Warehouse,5,2016,10080,Birmingham
2025-02-16,Microsoft,Data Warehouse,9,3848,34632,Edinburgh
2025-11-06,Accenture,CRM Software,9,3467,31203,Birmingham
2025-11-19,PwC,Data Warehouse,2,2643,5286,Edinburgh
2025-01-03,Google,CRM Software,7,3414,23898,London
2024-09-29,Deloitte,Data Warehouse,9,1865,16785,Edinburgh
2025-11-29,PwC,AI Platform,4,895,3580,Edinburgh
2024-08-20,PwC,Data Warehouse,9,3002,27018,Leeds
2025-12-18,EY,Analytics Dashboard,5,3640,18200,Birmingham
2025-01-30,Amazon,Data Warehouse,5,4136,20680,London
2024-02-08,HSBC,Cloud Suite,7,3794,26558,Manchester
2024-05-12,PwC,CRM Software,2,1453,2906,Leeds
2024-09-09,Barclays,CRM Software,8,3493,27944,Birmingham
2025-09-25,KPMG,CRM Software,5,2886,14430,Edinburgh
2024-12-07,EY,AI Platform,7,4812,33684,Edinburgh
2024-05-11,EY,Data Warehouse,3,3423,10269,Birmingham
2025-12-14,Accenture,Analytics Dashboard,7,4022,28154,Edinburgh
2025-10-14,KPMG,Data Warehouse,4,955,3820,Edinburgh
2024-12-26,Google,AI Platform,3,2496,7488,Leeds
2024-07-08,Amazon,Data Warehouse,1,1323,1323,London
2024-04-26,Barclays,Cloud Suite,5,4675,23375,Edinburgh
2024-07-21,TCS,CRM Software,4,1750,7000,Birmingham
2025-06-15,Amazon,Cloud Suite,9,3876,34884,London
2025-01-07,Barclays,Analytics Dashboard,7,1853,12971,Leeds
2025-02-11,TCS,CRM Software,8,1645,13160,Leeds
2025-11-06,Accenture,Cloud Suite,2,1039,2078,Leeds
2024-02-10,EY,Analytics Dashboard,6,3008,18048,Leeds
2025-07-11,PwC,CRM Software,6,755,4530,Edinburgh
2025-03-25,Accenture,Cloud Suite,5,1515,7575,London
2025-01-08,Deloitte,Cloud Suite,1,4658,4658,London
2025-11-19,Deloitte,Cloud Suite,9,1010,9090,London
2025-02-08,Google,Data Warehouse,1,3256,3256,Edinburgh
2025-03-12,Google,CRM Software,5,3224,16120,Manchester
2025-04-02,PwC,AI Platform,5,2548,12740,Birmingham
2025-11-15,EY,AI Platform,1,2323,2323,Manchester
2024-12-13,Microsoft,Cloud Suite,2,2665,5330,Birmingham
2024-11-01,TCS,AI Platform,6,735,4410,Edinburgh
2025-02-04,Google,CRM Software,5,4481,22405,Manchester
2024-03-15,PwC,Data Warehouse,2,1829,3658,Manchester
2024-11-30,Infosys,Analytics Dashboard,2,1831,3662,London
2024-06-14,Deloitte,Data Warehouse,7,3677,25739,Birmingham
2024-03-21,HSBC,CRM Software,4,637,2548,London
2024-11-25,Deloitte,Data Warehouse,4,3531,14124,Edinburgh
2025-06-29,Barclays,CRM Software,2,4800,9600,Birmingham
2024-02-12,Infosys,Analytics Dashboard,9,3945,35505,Leeds
2024-12-25,EY,AI Platform,3,2387,7161,Birmingham
2025-10-28,KPMG,CRM Software,3,4400,13200,Edinburgh
2025-05-27,HSBC,AI Platform,2,2468,4936,Manchester
2024-03-13,Accenture,AI Platform,9,2761,24849,Birmingham
2024-02-17,Deloitte,Cloud Suite,4,2555,10220,London
2024-09-09,EY,Cloud Suite,7,2625,18375,Manchester
2024-12-30,Accenture,Analytics Dashboard,8,2146,17168,Birmingham
2025-05-22,KPMG,Cloud Suite,6,2406,14436,London
2025-09-22,HSBC,Data Warehouse,7,2476,17332,London
2024-08-18,Barclays,Cloud Suite,9,4096,36864,Leeds
2024-01-25,EY,Cloud Suite,3,732,2196,Edinburgh
2024-05-25,EY,Cloud Suite,8,4507,36056,London
2025-08-17,Accenture,AI Platform,5,3239,16195,Manchester
2024-11-15,KPMG,Analytics Dashboard,8,2862,22896,Edinburgh
2025-01-11,Deloitte,CRM Software,6,2824,16944,Leeds
2024-12-15,Infosys,AI Platform,7,742,5194,Edinburgh
2025-07-01,Microsoft,Cloud Suite,4,4670,18680,Leeds
2025-10-07,Barclays,AI Platform,8,4789,38312,Birmingham
2025-01-26,Accenture,Analytics Dashboard,5,1641,8205,Leeds
2025-12-24,Deloitte,Data Warehouse,1,2548,2548,Manchester
2025-10-15,Barclays,CRM Software,4,2526,10104,Birmingham
2025-11-03,Barclays,Cloud Suite,8,509,4072,Edinburgh
2025-10-11,TCS,Cloud Suite,8,4213,33704,Leeds
2024-11-16,HSBC,AI Platform,1,3324,3324,Birmingham
2025-07-03,Google,Analytics Dashboard,1,2104,2104,Leeds
2024-08-23,KPMG,CRM Software,8,4030,32240,London
2025-08-10,PwC,Analytics Dashboard,1,3891,3891,Leeds
2024-12-14,Microsoft,Analytics Dashboard,9,1752,15768,Leeds
2024-10-17,HSBC,CRM Software,5,3398,16990,Birmingham
2024-03-18,Accenture,Data Warehouse,9,1565,14085,London
2025-02-05,Microsoft,Analytics Dashboard,6,2690,16140,London
2025-10-26,Deloitte,AI Platform,7,4533,31731,Edinburgh
2025-09-07,Microsoft,Analytics Dashboard,7,2470,17290,Birmingham
2025-01-25,PwC,Cloud Suite,4,2535,10140,Birmingham
2025-02-23,Barclays,AI Platform,1,3568,3568,Edinburgh
2025-02-14,Google,AI Platform,4,3145,12580,Manchester
2025-06-05,HSBC,Analytics Dashboard,1,3353,3353,Edinburgh
2024-06-07,EY,CRM Software,8,3728,29824,Edinburgh
2024-06-05,EY,Data Warehouse,2,594,1188,Birmingham
2024-10-18,Accenture,Analytics Dashboard,5,4606,23030,Manchester
2025-07-03,Barclays,Cloud Suite,8,3505,28040,Manchester
2025-09-14,Microsoft,Data Warehouse,4,3435,13740,Edinburgh
2024-05-06,Accenture,AI Platform,9,4646,41814,Edinburgh
2025-04-06,Microsoft,AI Platform,6,2292,13752,Edinburgh
2025-02-08,Accenture,Data Warehouse,6,3530,21180,London
2024-01-01,Barclays,Analytics Dashboard,8,3208,25664,London
2024-11-04,Amazon,Cloud Suite,4,4712,18848,Manchester
2025-07-28,EY,AI Platform,6,885,5310,Manchester
2025-04-19,KPMG,Analytics Dashboard,1,1454,1454,Leeds
2024-06-27,Barclays,AI Platform,7,4072,28504,London
2024-06-25,Infosys,Cloud Suite,2,3620,7240,London
2024-03-24,Amazon,AI Platform,4,4201,16804,Leeds
2024-03-03,Microsoft,AI Platform,7,2292,16044,Edinburgh
2024-08-02,PwC,Analytics Dashboard,8,1222,9776,Edinburgh
2024-10-31,Microsoft,Analytics Dashboard,2,1268,2536,Birmingham
2024-06-23,KPMG,Cloud Suite,6,2661,15966,Birmingham
2025-10-05,Deloitte,CRM Software,7,1981,13867,Birmingham
2024-06-10,TCS,AI Platform,7,554,3878,Leeds
2024-06-26,Google,CRM Software,8,1332,10656,London
2025-03-18,Microsoft,AI Platform,5,4175,20875,Manchester
2024-04-05,Microsoft,Analytics Dashboard,4,664,2656,Edinburgh
2024-01-07,Accenture,AI Platform,7,3656,25592,Birmingham
2025-09-15,PwC,Data Warehouse,2,1013,2026,London
2025-12-09,EY,Analytics Dashboard,2,3690,7380,Leeds
2025-06-15,HSBC,CRM Software,6,1779,10674,London
2024-08-13,HSBC,Data Warehouse,3,4077,12231,Leeds
2024-10-06,Deloitte,Cloud Suite,8,2606,20848,London
2024-04-24,Deloitte,AI Platform,8,4533,36264,Edinburgh
2024-10-07,Google,AI Platform,6,1801,10806,Birmingham
2025-05-08,EY,Cloud Suite,2,4298,8596,Edinburgh
2024-03-15,Barclays,Cloud Suite,5,2589,12945,Leeds
2024-02-10,Barclays,Cloud Suite,1,2122,2122,Edinburgh
2024-12-07,HSBC,Analytics Dashboard,9,1145,10305,Birmingham
2024-06-16,KPMG,Data Warehouse,9,954,8586,Manchester
2025-11-15,Deloitte,Cloud Suite,5,3181,15905,Manchester
2024-12-28,Deloitte,Analytics Dashboard,5,3863,19315,Birmingham
2024-01-29,HSBC,Analytics Dashboard,8,2558,20464,Leeds
2024-04-22,Infosys,Analytics Dashboard,6,4693,28158,Edinburgh
2024-11-07,Deloitte,Cloud Suite,4,1250,5000,Leeds
2025-04-11,PwC,Data Warehouse,1,4960,4960,Birmingham
2025-04-26,Amazon,Cloud Suite,2,2024,4048,London
2025-12-13,Microsoft,AI Platform,1,1740,1740,Edinburgh
2025-09-07,Accenture,AI Platform,7,4726,33082,Manchester
2024-08-16,TCS,Data Warehouse,3,4049,12147,Manchester
2025-06-07,PwC,CRM Software,1,3504,3504,London
2024-11-25,Amazon,AI Platform,8,838,6704,Edinburgh
2024-03-21,Google,CRM Software,6,1209,7254,London
2025-04-10,Amazon,Data Warehouse,9,546,4914,Manchester
2024-01-16,Google,AI Platform,7,3657,25599,Manchester
2025-01-25,HSBC,AI Platform,3,2021,6063,Birmingham
2025-12-27,KPMG,Data Warehouse,7,3542,24794,Manchester
2025-03-18,Accenture,AI Platform,8,3167,25336,Leeds
2024-04-07,PwC,CRM Software,8,4778,38224,Leeds
2024-02-08,Microsoft,AI Platform,4,1420,5680,Edinburgh
2025-12-22,Deloitte,CRM Software,2,810,1620,Birmingham
2024-06-18,KPMG,Analytics Dashboard,7,2304,16128,Edinburgh
2024-09-30,PwC,Analytics Dashboard,7,1313,9191,Leeds
2024-01-29,Deloitte,CRM Software,5,771,3855,Leeds
2024-08-26,Amazon,Cloud Suite,9,3930,35370,Leeds
2025-01-23,Deloitte,AI Platform,3,4000,12000,Manchester
2024-11-19,KPMG,CRM Software,9,931,8379,London
2025-08-07,Deloitte,AI Platform,8,1463,11704,Leeds
2024-07-05,Accenture,CRM Software,5,1438,7190,Leeds
2025-12-10,Google,Analytics Dashboard,2,1384,2768,Birmingham
2025-05-07,Accenture,Analytics Dashboard,2,1324,2648,Manchester
2025-05-20,PwC,CRM Software,5,553,2765,London
2025-06-04,PwC,Data Warehouse,1,2096,2096,Birmingham
2025-05-04,PwC,Cloud Suite,2,2609,5218,London
2024-08-03,PwC,Analytics Dashboard,6,1392,8352,London
2024-11-24,EY,CRM Software,2,1790,3580,London
2024-11-18,Infosys,Data Warehouse,9,1718,15462,London
2024-11-27,Accenture,AI Platform,8,2060,16480,Edinburgh
2025-01-29,Infosys,Cloud Suite,8,1474,11792,Birmingham
2024-06-24,Accenture,Cloud Suite,6,536,3216,Leeds
2025-11-18,TCS,CRM Software,1,3611,3611,Edinburgh
2024-08-11,PwC,Cloud Suite,3,2091,6273,Manchester
2024-02-09,Infosys,CRM Software,1,1785,1785,Birmingham
2024-12-01,Microsoft,Data Warehouse,1,2204,2204,Edinburgh
2024-12-28,Amazon,CRM Software,4,4786,19144,Birmingham
2025-02-25,TCS,CRM Software,9,3219,28971,Birmingham
2025-03-12,Google,Cloud Suite,4,3829,15316,Edinburgh
2025-06-07,Google,Cloud Suite,1,2564,2564,Manchester
2025-11-30,Microsoft,CRM Software,3,1507,4521,Birmingham
2025-02-17,Google,Cloud Suite,9,1747,15723,Manchester
2025-02-15,TCS,CRM Software,6,2387,14322,Leeds
2024-08-29,EY,Analytics Dashboard,1,1417,1417,London
2025-12-05,Barclays,Cloud Suite,8,2853,22824,Edinburgh
2025-12-16,EY,Analytics Dashboard,3,2928,8784,Leeds
2024-01-07,Infosys,AI Platform,6,4499,26994,Birmingham
2025-04-03,Accenture,Cloud Suite,2,1953,3906,Manchester
2024-10-11,EY,AI Platform,3,538,1614,Edinburgh
2024-06-05,Infosys,Data Warehouse,2,3655,7310,Birmingham
2025-06-22,PwC,AI Platform,8,1488,11904,Edinburgh
2024-10-29,HSBC,Analytics Dashboard,4,2182,8728,London
2025-03-28,PwC,Analytics Dashboard,1,4463,4463,Manchester
2024-06-11,Deloitte,AI Platform,8,2309,18472,Leeds
2024-07-26,Infosys,Data Warehouse,9,4176,37584,Edinburgh
2025-06-03,Infosys,Cloud Suite,4,4944,19776,Leeds
2025-11-23,Microsoft,Data Warehouse,3,1026,3078,London
2024-07-24,Google,AI Platform,4,2263,9052,London
2025-11-08,Amazon,Data Warehouse,6,616,3696,Manchester
2024-12-09,Microsoft,Analytics Dashboard,1,4667,4667,Edinburgh
2024-09-30,KPMG,Analytics Dashboard,9,2543,22887,London
2025-01-26,Infosys,Analytics Dashboard,8,2076,16608,London
2025-08-10,Amazon,Data Warehouse,4,3220,12880,Manchester
2024-08-29,TCS,AI Platform,2,3348,6696,London
2025-08-11,EY,Cloud Suite,6,3674,22044,Manchester
2024-06-14,Google,Cloud Suite,2,4738,9476,Manchester
2024-04-15,Google,Data Warehouse,1,2395,2395,Birmingham
2024-11-12,PwC,Analytics Dashboard,6,2556,15336,London
2024-12-24,Amazon,Cloud Suite,8,4411,35288,Manchester
2024-11-13,EY,Analytics Dashboard,7,958,6706,Leeds
2024-07-26,EY,Cloud Suite,6,909,5454,Birmingham
2024-05-06,Amazon,Data Warehouse,2,2634,5268,Leeds
2025-06-20,PwC,Cloud Suite,3,4138,12414,Leeds
2025-11-15,Microsoft,CRM Software,7,2856,19992,Birmingham
2025-08-16,Barclays,Cloud Suite,3,1161,3483,Edinburgh
2024-12-17,Microsoft,AI Platform,3,3471,10413,Manchester
2024-02-04,Barclays,AI Platform,7,4388,30716,Edinburgh
2024-06-07,Accenture,CRM Software,8,903,7224,Edinburgh
2025-05-30,TCS,Data Warehouse,4,1455,5820,Manchester
2025-11-19,PwC,AI Platform,4,1773,7092,Edinburgh
2025-05-26,EY,Cloud Suite,2,3479,6958,Manchester
2025-01-05,Accenture,CRM Software,3,1029,3087,Edinburgh
2025-06-03,EY,Cloud Suite,2,874,1748,Edinburgh
2025-07-06,Barclays,Data Warehouse,8,2778,22224,London
2024-03-24,KPMG,AI Platform,9,2540,22860,Leeds
2024-03-06,PwC,CRM Software,5,2546,12730,London
2025-02-27,TCS,Data Warehouse,7,3874,27118,Birmingham
2024-01-10,PwC,Cloud Suite,9,1780,16020,Edinburgh
2024-10-02,Microsoft,Analytics Dashboard,1,2860,2860,Leeds
2024-10-10,Amazon,Analytics Dashboard,5,3234,16170,Edinburgh
2024-07-22,HSBC,AI Platform,1,2155,2155,Leeds
2024-06-04,Barclays,Data Warehouse,4,4453,17812,Manchester
2025-05-25,HSBC,Data Warehouse,1,1558,1558,Edinburgh
2024-02-28,HSBC,AI Platform,1,1729,1729,Leeds
2025-05-04,EY,CRM Software,2,1739,3478,Birmingham
2024-05-05,KPMG,AI Platform,2,4368,8736,London
2024-02-08,Microsoft,Analytics Dashboard,2,1418,2836,Leeds
2024-10-20,EY,CRM Software,4,2469,9876,Manchester
2025-01-09,Microsoft,Cloud Suite,5,628,3140,Edinburgh
2024-12-17,Barclays,CRM Software,6,1698,10188,Manchester
2024-07-11,Google,Cloud Suite,2,4549,9098,London
2025-06-21,Microsoft,AI Platform,8,4940,39520,Leeds
2024-01-01,PwC,CRM Software,5,2908,14540,Manchester
2024-08-07,KPMG,Cloud Suite,6,1074,6444,London
2024-06-09,Amazon,AI Platform,9,4328,38952,Edinburgh
2024-06-07,Amazon,Analytics Dashboard,4,4181,16724,Edinburgh
2024-04-11,EY,Analytics Dashboard,6,4053,24318,Manchester
2025-01-31,Amazon,Analytics Dashboard,1,1867,1867,London
2025-12-25,Deloitte,Data Warehouse,7,2690,18830,Edinburgh
2025-08-27,Amazon,AI Platform,1,1235,1235,London
2024-10-17,TCS,Cloud Suite,3,3515,10545,Manchester
2024-01-03,HSBC,Cloud Suite,8,3363,26904,Manchester
2025-03-29,TCS,CRM Software,9,511,4599,Edinburgh
2024-10-30,HSBC,Data Warehouse,4,3330,13320,Birmingham
2024-12-08,Barclays,Cloud Suite,5,906,4530,Birmingham
2024-12-01,HSBC,Data Warehouse,9,1214,10926,Birmingham
2024-11-19,HSBC,CRM Software,6,1463,8778,Edinburgh
2025-07-17,Infosys,CRM Software,3,605,1815,Leeds
2025-10-31,KPMG,Cloud Suite,1,3136,3136,Leeds
2024-03-30,Amazon,Analytics Dashboard,7,3679,25753,Manchester
2024-02-08,Google,AI Platform,8,535,4280,Leeds
2025-03-27,Barclays,AI Platform,8,2208,17664,Manchester
2025-07-12,Infosys,CRM Software,7,1800,12600,Leeds
2024-01-26,Amazon,Cloud Suite,8,2925,23400,London
2025-09-28,Accenture,AI Platform,5,4645,23225,Birmingham
2025-09-03,TCS,Cloud Suite,9,645,5805,Birmingham
2025-11-06,Accenture,AI Platform,7,2084,14588,Birmingham
2024-04-17,KPMG,AI Platform,7,1161,8127,Edinburgh
2025-10-16,PwC,Data Warehouse,7,2046,14322,Manchester
2025-08-12,Amazon,AI Platform,2,1843,3686,Birmingham
2024-09-19,HSBC,Cloud Suite,3,2077,6231,Edinburgh
2024-06-15,Amazon,AI Platform,7,3851,26957,Leeds
2024-10-28,PwC,Data Warehouse,6,3101,18606,Edinburgh
2024-02-05,Microsoft,CRM Software,1,572,572,London
2024-03-10,Amazon,Data Warehouse,1,4213,4213,Leeds
2025-05-31,TCS,Analytics Dashboard,5,3323,16615,Manchester
2024-03-07,Barclays,Data Warehouse,3,841,2523,Manchester
2025-12-27,TCS,Cloud Suite,6,1732,10392,Birmingham
2024-12-19,Google,Data Warehouse,8,1161,9288,Leeds
2025-03-17,EY,CRM Software,9,4906,44154,Manchester
2025-03-21,Amazon,Data Warehouse,1,2431,2431,Leeds
2025-05-29,Google,Data Warehouse,3,2040,6120,Leeds
2024-09-04,TCS,AI Platform,9,785,7065,Edinburgh
2024-03-24,Barclays,Cloud Suite,8,2266,18128,London
2025-04-04,Barclays,Data Warehouse,2,3056,6112,Leeds
2025-04-25,Google,Cloud Suite,2,2908,5816,Edinburgh
2025-03-24,Infosys,Analytics Dashboard,4,2225,8900,Manchester
2024-07-14,KPMG,Analytics Dashboard,6,2690,16140,Leeds
2024-04-10,EY,Cloud Suite,1,4637,4637,Manchester
2025-03-04,PwC,Cloud Suite,6,3638,21828,Leeds
2025-06-09,Amazon,CRM Software,3,4725,14175,Birmingham
2025-04-10,EY,Cloud Suite,9,2485,22365,London
2024-09-09,Barclays,AI Platform,4,594,2376,London
2024-04-19,Barclays,CRM Software,4,3446,13784,Birmingham
2024-01-25,HSBC,Cloud Suite,8,3464,27712,Manchester
2025-06-20,EY,CRM Software,4,3536,14144,Leeds
2025-03-22,Barclays,CRM Software,2,3210,6420,Birmingham
2024-10-13,PwC,CRM Software,3,2453,7359,Manchester
2024-12-10,KPMG,Analytics Dashboard,2,2450,4900,London
2024-03-23,Amazon,Analytics Dashboard,5,1679,8395,Birmingham
2024-09-19,TCS,AI Platform,4,2138,8552,London
2024-04-10,Google,Data Warehouse,4,3792,15168,Leeds
2025-02-23,TCS,Cloud Suite,5,1267,6335,Edinburgh
2025-04-27,Google,Analytics Dashboard,6,2049,12294,Edinburgh
2025-08-20,HSBC,Cloud Suite,5,2793,13965,Edinburgh
2025-10-11,Google,Cloud Suite,8,1400,11200,London
2024-01-13,HSBC,Cloud Suite,2,2885,5770,Edinburgh
2024-06-21,EY,AI Platform,3,2942,8826,Edinburgh
2024-11-03,Google,CRM Software,4,1045,4180,Leeds
2025-09-15,TCS,Cloud Suite,8,4304,34432,Leeds
2025-02-25,Accenture,CRM Software,1,4700,4700,London
2024-04-29,Amazon,AI Platform,1,1071,1071,Edinburgh
2024-04-06,Accenture,Cloud Suite,8,1288,10304,Leeds
2025-12-15,Google,Cloud Suite,8,4526,36208,London
2024-03-19,Deloitte,Data Warehouse,7,1355,9485,Edinburgh
2025-04-11,HSBC,Data Warehouse,1,2648,2648,Edinburgh
2024-07-18,Amazon,Analytics Dashboard,1,4006,4006,Birmingham
2025-10-25,Deloitte,CRM Software,4,4827,19308,Manchester
2024-12-31,EY,Analytics Dashboard,4,4994,19976,Birmingham
2025-01-25,PwC,Data Warehouse,3,4062,12186,Manchester
2024-09-17,HSBC,Cloud Suite,6,4194,25164,Leeds
2024-12-02,Microsoft,AI Platform,9,3509,31581,Manchester
2025-07-14,EY,Data Warehouse,9,2716,24444,London
2025-01-12,Google,Cloud Suite,5,4247,21235,Leeds
2025-05-02,KPMG,CRM Software,5,4483,22415,Leeds
2024-08-13,Infosys,Cloud Suite,1,1435,1435,Manchester
2024-07-01,Amazon,AI Platform,8,4197,33576,Leeds
2025-02-17,EY,CRM Software,3,1185,3555,London
2024-05-01,Google,AI Platform,9,3490,31410,Manchester
2024-05-28,HSBC,Data Warehouse,6,1161,6966,Birmingham
2024-12-10,Barclays,Data Warehouse,2,4808,9616,Leeds
2024-10-09,KPMG,Analytics Dashboard,7,4683,32781,Leeds
2025-04-05,Barclays,Analytics Dashboard,5,2224,11120,London
2025-11-26,PwC,Analytics Dashboard,7,2960,20720,Leeds
2025-01-01,Amazon,CRM Software,8,861,6888,Manchester
2025-10-17,Microsoft,AI Platform,5,1014,5070,London
2024-04-13,PwC,Cloud Suite,2,4062,8124,London
2024-01-10,HSBC,Analytics Dashboard,2,2659,5318,Edinburgh
2025-01-27,EY,Data Warehouse,6,2781,16686,Manchester
2024-11-09,Barclays,Data Warehouse,1,1537,1537,London
2025-02-21,HSBC,AI Platform,4,3134,12536,Birmingham
2024-03-10,Microsoft,Analytics Dashboard,5,1197,5985,Leeds
2025-09-14,EY,Data Warehouse,8,1513,12104,Birmingham
2024-06-02,HSBC,CRM Software,6,2523,15138,Edinburgh
2024-07-20,Barclays,Data Warehouse,9,2820,25380,Leeds
2024-08-08,PwC,CRM Software,7,3447,24129,Manchester
2025-10-31,KPMG,Analytics Dashboard,3,4388,13164,Birmingham
2025-02-09,Microsoft,CRM Software,6,3474,20844,Leeds
2025-12-04,PwC,CRM Software,4,4778,19112,London
2024-07-01,Deloitte,Cloud Suite,4,1636,6544,Birmingham
2025-04-20,Infosys,Analytics Dashboard,9,1519,13671,Edinburgh
2024-06-09,Deloitte,Data Warehouse,4,2510,10040,Leeds
2024-03-15,Google,AI Platform,5,999,4995,Edinburgh
2024-05-17,KPMG,Analytics Dashboard,1,2385,2385,Edinburgh
2025-12-10,Deloitte,Analytics Dashboard,3,4486,13458,Manchester
2025-06-30,Accenture,Analytics Dashboard,5,2503,12515,London
2024-03-14,HSBC,Data Warehouse,6,2125,12750,Leeds
2025-09-29,Google,Cloud Suite,3,3339,10017,London
2025-09-03,Barclays,AI Platform,6,1185,7110,Leeds
2024-12-29,TCS,AI Platform,4,1931,7724,Leeds
2025-09-09,Barclays,Data Warehouse,7,662,4634,Leeds
2024-09-26,Microsoft,Cloud Suite,6,2514,15084,Manchester
2025-12-29,Barclays,Data Warehouse,9,2219,19971,Birmingham
2025-08-18,KPMG,Cloud Suite,9,1189,10701,London
2025-06-02,Barclays,Cloud Suite,8,1671,13368,Edinburgh
2025-03-01,Accenture,Data Warehouse,8,4760,38080,Manchester
